iter,num_edges,avg_hap,avg_sim
0,94002,0.637,0.5023095264074593
1,94008,0.639,0.5022714329157222
2,94052,0.641,0.5022398202148813
3,94060,0.643,0.5024750087581462
4,94088,0.643,0.502626129699133
5,94064,0.644,0.5029137715479434
6,94070,0.643,0.5028228066550074
7,94040,0.644,0.5030188909145561
8,94062,0.644,0.5030968540865327
9,94040,0.644,0.5031944041028791
10,94048,0.648,0.5034144829924009
11,94054,0.649,0.5034562818025121
12,94064,0.649,0.5035817662136814
13,94102,0.647,0.503462565602269
14,94138,0.649,0.5034658656907217
15,94150,0.653,0.5035246783075308
16,94132,0.656,0.5036687638460123
17,94118,0.6599999999999999,0.5039345788304499
18,94106,0.6619999999999999,0.5040644915755276
19,94092,0.6619999999999999,0.5042618107949529
20,94058,0.6579999999999999,0.5042859179655296
21,94068,0.659,0.5043550570487303
22,94078,0.6619999999999999,0.5044980596900636
23,94078,0.661,0.5045082538532017
24,94092,0.663,0.5047361526630543
25,94136,0.6639999999999999,0.5046226000976488
26,94152,0.665,0.5049513676148157
27,94082,0.665,0.5052213916635173
28,94124,0.6659999999999999,0.5050755227553405
29,94084,0.6659999999999999,0.5053129718252836
30,94080,0.671,0.5055488216168802
31,94048,0.673,0.5056932395128337
32,94038,0.675,0.5059322758522379
33,94096,0.673,0.5059372716453631
34,94122,0.675,0.5059708371231241
35,94110,0.6779999999999999,0.5059853396375052
36,94132,0.6759999999999999,0.5061808974224449
37,94132,0.6759999999999999,0.5062033255303113
38,94136,0.6799999999999999,0.5062638506448586
39,94130,0.6779999999999999,0.506245718202423
40,94110,0.6759999999999999,0.5062160078908542
41,94112,0.677,0.50641940314282
42,94080,0.675,0.5065136747354098
43,94112,0.6759999999999999,0.5065321364356794
44,94140,0.671,0.5065533948812814
45,94138,0.675,0.5068748366200256
46,94092,0.6759999999999999,0.5069582161316674
47,94074,0.677,0.5071152716743226
48,94058,0.6759999999999999,0.5072748500418989
49,94052,0.6779999999999999,0.5072610546885045
50,94078,0.675,0.5074807811797808
51,94062,0.677,0.507638874652613
52,94012,0.6799999999999999,0.5076668660913228
53,94022,0.6799999999999999,0.507672449909951
54,94034,0.6839999999999999,0.5077096188377279
55,94028,0.685,0.5074822225924679
56,94050,0.6859999999999999,0.507330916872309
57,94078,0.681,0.5073392099201188
58,94112,0.6819999999999999,0.5077351114506191
59,94130,0.6859999999999999,0.5078733659055367
60,94132,0.6819999999999999,0.5078300667339043
61,94144,0.6819999999999999,0.5077782718191134
62,94156,0.677,0.5077715914524856
63,94170,0.6739999999999999,0.5078103760502706
64,94142,0.675,0.5079498860913432
65,94138,0.6759999999999999,0.5079612346281813
66,94206,0.675,0.508175076222209
67,94230,0.675,0.5082007707541608
68,94222,0.6779999999999999,0.5083288945343435
69,94228,0.6799999999999999,0.5085601101686287
70,94190,0.6819999999999999,0.5085128756862702
71,94188,0.681,0.5086882804789962
72,94214,0.6859999999999999,0.508845275494881
73,94206,0.6859999999999999,0.5086542850484133
74,94194,0.687,0.5087797790793688
75,94182,0.6910000000000001,0.5087657971279539
76,94182,0.6950000000000001,0.5089115616673968
77,94190,0.6950000000000001,0.5089784581084709
78,94194,0.696,0.5089821503203573
79,94172,0.694,0.5088839679390508
80,94210,0.694,0.5089026460809929
81,94256,0.6930000000000001,0.5088485993620351
82,94278,0.694,0.5088272734492093
83,94292,0.7,0.5087856202174761
84,94250,0.698,0.5089478164558201
85,94270,0.698,0.5090532597919868
86,94272,0.6950000000000001,0.5090088954377413
87,94288,0.6990000000000001,0.5090321587741378
88,94242,0.702,0.5090803513374927
89,94250,0.704,0.509211525919668
90,94264,0.7030000000000001,0.5092842611090085
91,94224,0.7030000000000001,0.5092633020065108
92,94238,0.7050000000000001,0.5093754482341697
93,94268,0.702,0.5093685065791037
94,94300,0.706,0.5094889868458873
95,94296,0.7070000000000001,0.5095244309304805
96,94298,0.706,0.5095622613004103
97,94338,0.702,0.5095588677413194
98,94302,0.7010000000000001,0.5099907417301881
99,94256,0.702,0.5099475621363543
